Subject,Sentence,Class
Chase,Chase got scared by the dog.,sad
Katherine,Katherine had a candy cane.,happy
Colton,Colton had to take a cold bath.,sad
Maria,Maria watched cartoons.,happy
Ian,Ian had to go to the doctor.,sad
Madeline,Madeline went to a puppet show.,happy
Easton,Easton couldn’t have more candy.,sad
Isabelle,Isabelle went to a parade.,happy
Hudson,Hudson lost his favorite hat.,sad
Brooklyn,Brooklyn played with blocks.,happy
Julian,Julian didn’t get to go play.,sad
Ariana,Ariana saw a beautiful horse.,happy
Lincoln,Lincoln had a stomachache.,sad
Willow,Willow went to a ballet class.,happy
Zoe,Zoe got a hug from her dad.,happy
Max,Max spilled his juice.,sad
Ella,Ella sang a beautiful song.,happy
Ryan,Ryan's balloon flew away.,sad
Chloe,Chloe played with her puppy.,happy
Jack,Jack had to leave the playground early.,sad
Grace,Grace found a shiny penny.,happy
Lucas,Lucas tore his favorite book.,sad
Emma,Emma helped bake cookies.,happy
Dylan,Dylan's ice cream was too cold and made his teeth hurt.,sad
Ava,Ava saw a butterfly.,happy
Noah,Noah had to take a nap but he wasn't tired.,sad
Mia,Mia made a new friend today.,happy
Ethan,Ethan couldn't watch his cartoon because the TV was broken.,sad
Isabella,Isabella's painting won a prize.,happy
Logan,Logan's pet fish swam upside down and wouldn't wake up.,sad
Madison,Madison caught a ball during the game.,happy
Alexander,Alexander missed the school bus.,sad
Emily,Emily saw a shooting star.,happy
Tyler,Tyler's cake fell on the floor.,sad
Jacob,Jacob laughed at the clown's jokes.,happy
Hailey,Hailey's plant grew a new leaf.,happy
Michael,Michael's sandcastle got washed away.,sad
Leah,Leah got to stay up past bedtime.,happy
Daniel,Daniel's ice pop melted before he could eat it.,sad
Amelia,Amelia fed the ducks at the pond.,happy
Joshua,Joshua forgot his friend's birthday.,sad
Isabelle,Isabelle received a postcard from her grandma.,happy
Matthew,Matthew couldn't find his favorite truck.,sad
Charlotte,Charlotte saw a puppy at the window.,happy
Evan,Evan's cookie broke when he dropped it.,sad
Ruby,Ruby finished her puzzle by herself.,happy
Andrew,Andrew got soap in his eyes during his bath.,sad
Jasmine,Jasmine's mom read her a story.,happy
Nathan,Nathan had to get a shot at the doctor's office.,sad
Harper,Harper won a gold star at school today.,happy
Cameron,Cameron left his lunchbox at home.,sad
Zoe,Zoe blew bubbles in the park.,happy
Liam,Liam's boots got wet and muddy.,sad
Sophia,Sophia made a tower with her blocks.,happy
Owen,Owen lost his favorite action figure.,sad
Layla,Layla's dad made pancakes for breakfast.,happy
Carter,Carter had to say goodbye to his friend who was moving away.,sad
Evelyn,Evelyn watched the fireworks.,happy
Jayden,Jayden's puzzle piece went missing.,sad
Avery,Avery found a ladybug on her hand.,happy
Gabriel,Gabriel's fish tank cracked.,sad
Kayla,Kayla learned to snap her fingers.,happy
Hunter,Hunter couldn't find his way back to his picnic spot.,sad
Luna,Luna counted ten little ducklings.,happy
Aiden,Aiden's balloon popped with a loud bang.,sad
Mila,Mila saw her flower bloom.,happy
Justin,Justin's paint spilled all over his paper.,sad
Eva,Eva and her mom baked a cake together.,happy
